# The ONE fetch list for the text-fit advance table (ROADMAP O189, V1 of the font-version ruling).
# gen_advances.sh fetches the https rows, gen_advances.py prices every row, and the calibration
# harness embeds the same files: one list, so the table and its calibration cannot name different fonts.
#
#   slot    which pinned set the file belongs to. The table is the per-glyph maximum over every slot.
#   file    the name the generator prices it under (gen_advances.py COLUMNS and FALLBACKS).
#   sha256  the file's digest, checked before any byte of it is read as a font.
#   source  debian:<package>=<version> for a file an apt pin installs, or the https URL it is fetched from.
#
# Slot debian is the Debian bookworm pin and holds every file the generator prices. Slot noto-23.7.1 is
# the notofonts monthly release 23.7.1, per file from its tag; DejaVu comes from Debian only. Moving any
# row is a decision recorded in ROADMAP, and textfit/pins.py fails until the table header agrees.
# No font file enters the tree.
slot	file	sha256	source
debian	dejavu/DejaVuSans.ttf	abdc775b21b1bc470d50c97e790d276f2054b7504e56e5bd3e64f48d68582322	debian:fonts-dejavu-core=2.37-6
debian	noto/NotoSans-Regular.ttf	89c3c497f618fdaa0b2d1e98fef93582f28c71debd2c4a8cdf41f190ced2909d	debian:fonts-noto-core=20201225-1
debian	dejavu/DejaVuSans-Bold.ttf	0d977336a6d5fba34eab8e3199eb218327161b5143749f802982c2bc34df0c96	debian:fonts-dejavu-core=2.37-6
debian	noto/NotoSans-Bold.ttf	e83493c945848ecd4a9ad0f6d19164541a0d3e23a9c952304a00a46e00272ac5	debian:fonts-noto-core=20201225-1
debian	dejavu/DejaVuSansMono.ttf	0f5db4f1749979d961019838b160bec74abdf7f9eca69553fe1aa856bbff49a4	debian:fonts-dejavu-core=2.37-6
debian	dejavu/DejaVuSansMono-Bold.ttf	2964f6dac8e6e9d71613928340f17bf868e9ea51692cca333c79e74962f02233	debian:fonts-dejavu-core=2.37-6
debian	dejavu/DejaVuSerif.ttf	13e61509f5c81d7c3132810f4f903e3523df89c802bf6e0674621e8f659cdfe1	debian:fonts-dejavu-core=2.37-6
debian	dejavu/DejaVuSerif-Italic.ttf	889a2b9daff9f091f7cf1ff6c88e5c1a5b55b3afb221571393ccb71ec9301ec9	debian:fonts-dejavu-extra=2.37-6
debian	noto/NotoSerif-Regular.ttf	9d7583b7dc9e812afd32a14280c5cac3160012efe50c8d08938f4fea266ff67f	debian:fonts-noto-core=20201225-1
debian	noto/NotoSerif-Italic.ttf	bc25600aa27cd409e1e5b3d86340df3a329bb860fcfbe57a03a95070b229e1b0	debian:fonts-noto-core=20201225-1
